06:59.50 1998-04-08 114241 DIRECTX/DIRECTX/DRIVERS/CHT/SB16.VXD
06:59.50 1998-04-08 28316 DIRECTX/DIRECTX/DRIVERS/CHT/SB16AWE.INF
06:59.50 1998-04-08 75019 DIRECTX/DIRECTX/DRIVERS/CHT/SB16SND.DRV
06:59.50 1998-04-08 78958 DIRECTX/DIRECTX/DRIVERS/CHT/SBAWE.VXD
06:59.50 1998-04-08 31339 DIRECTX/DIRECTX/DRIVERS/CHT/SBAWE32.DRV
06:59.50 1998-04-08 4112 DIRECTX/DIRECTX/DRIVERS/CHT/SBFM.DRV
06:59.50 1998-04-08 18586 DIRECTX/DIRECTX/DRIVERS/CHT/VMVID.VXD
06:59.52 1998-04-08 24162 DIRECTX/DIRECTX/DRIVERS/CHT/VPASD.VXD
06:59.52 1998-04-08 58263 DIRECTX/DIRECTX/DRIVERS/CHT/WAVE.INF
06:59.56 1998-04-08 26774 DIRECTX/DIRECTX/DRIVERS/CZE/AZT16.VXD
06:59.56 1998-04-08 42336 DIRECTX/DIRECTX/DRIVERS/CZE/AZT16C.DRV
06:59.56 1998-04-08 44016 DIRECTX/DIRECTX/DRIVERS/CZE/AZT16W.DRV
06:59.56 1998-04-08 228603 DIRECTX/DIRECTX/DRIVERS/CZE/CWBAUDIO.DRV
20:19.42 1998-06-29 28383 DIRECTX/DIRECTX/DRIVERS/CZE/CWBAUDIO.INF
06:59.56 1998-04-08 14513 DIRECTX/DIRECTX/DRIVERS/CZE/CWBMIDI.VXD
06:59.04 1998-11-20 19409 DIRECTX/DIRECTX/DRIVERS/CZE/DRIVERS.DDB
06:59.58 1998-04-08 9850 DIRECTX/DIRECTX/DRIVERS/CZE/DXATI.INF
06:59.58 1998-04-08 5346 DIRECTX/DIRECTX/DRIVERS/CZE/DXCHIPS.INF
06:59.58 1998-04-08 9885 DIRECTX/DIRECTX/DRIVERS/CZE/DXCIRRUS.INF
06:59.58 1998-04-08 541 DIRECTX/DIRECTX/DRIVERS/CZE/DXGLINT.INF
06:59.58 1998-04-08 2952 DIRECTX/DIRECTX/DRIVERS/CZE/DXI128.INF
08:45.52 1998-04-15 2511 DIRECTX/DIRECTX/DRIVERS/CZE/DXMGA.INF
06:59.58 1998-04-08 1606 DIRECTX/DIRECTX/DRIVERS/CZE/DXMM3DFX.INF
06:59.58 1998-04-08 2278 DIRECTX/DIRECTX/DRIVERS/CZE/DXNEOM.INF
06:59.58 1998-04-08 6317 DIRECTX/DIRECTX/DRIVERS/CZE/DXPMEDIA.INF
06:59.58 1998-04-08 3759 DIRECTX/DIRECTX/DRIVERS/CZE/DXREND.INF
06:59.58 1998-04-08 17462 DIRECTX/DIRECTX/DRIVERS/CZE/DXS3.INF
06:59.58 1998-04-08 2599 DIRECTX/DIRECTX/DRIVERS/CZE/DXTRID.INF
06:59.58 1998-04-08 6017 DIRECTX/DIRECTX/DRIVERS/CZE/DXTSENG.INF
06:59.58 1998-04-08 3607 DIRECTX/DIRECTX/DRIVERS/CZE/DXWD.INF
06:59.58 1998-04-08 44208 DIRECTX/DIRECTX/DRIVERS/CZE/ES1488.DRV
06:59.58 1998-04-08 20120 DIRECTX/DIRECTX/DRIVERS/CZE/ES1488.VXD
06:59.58 1998-04-08 56743 DIRECTX/DIRECTX/DRIVERS/CZE/ES1688.DRV
06:59.58 1998-04-08 32382 DIRECTX/DIRECTX/DRIVERS/CZE/ES1688.VXD
08:13.02 1999-01-08 58007 DIRECTX/DIRECTX/DRIVERS/CZE/ES1788.DRV
08:13.02 1999-01-08 32382 DIRECTX/DIRECTX/DRIVERS/CZE/ES1788.VXD
08:13.02 1999-01-08 37200 DIRECTX/DIRECTX/DRIVERS/CZE/ES488.DRV
08:13.02 1999-01-08 19607 DIRECTX/DIRECTX/DRIVERS/CZE/ES488.VXD
08:13.02 1999-01-08 47312 DIRECTX/DIRECTX/DRIVERS/CZE/ES688.DRV
07:00.00 1998-04-08 22679 DIRECTX/DIRECTX/DRIVERS/CZE/ES688.VXD
07:00.00 1998-04-08 20359 DIRECTX/DIRECTX/DRIVERS/CZE/ESFM.DRV
07:00.00 1998-04-08 17840 DIRECTX/DIRECTX/DRIVERS/CZE/ESSFM.DRV
07:00.00 1998-04-08 9904 DIRECTX/DIRECTX/DRIVERS/CZE/ESSMPORT.DRV
07:00.00 1998-04-08 9895 DIRECTX/DIRECTX/DRIVERS/CZE/ESSMPU.DRV
07:00.00 1998-04-08 6518 DIRECTX/DIRECTX/DRIVERS/CZE/F3AUDIO.INF
07:00.00 1998-04-08 8839 DIRECTX/DIRECTX/DRIVERS/CZE/F3MIDI.DRV
07:00.00 1998-04-08 48299 DIRECTX/DIRECTX/DRIVERS/CZE/F3WAVMIX.DRV
07:00.02 1998-04-08 5312 DIRECTX/DIRECTX/DRIVERS/CZE/MMMIXER.DLL
07:00.02 1998-04-08 386 DIRECTX/DIRECTX/DRIVERS/CZE/MSDDRAW.INF
07:00.02 1998-04-08 313 DIRECTX/DIRECTX/DRIVERS/CZE/MSDSOUND.INF
07:00.02 1998-04-08 7776 DIRECTX/DIRECTX/DRIVERS/CZE/MSJSTICK.DRV
07:00.02 1998-04-08 8720 DIRECTX/DIRECTX/DRIVERS/CZE/MSMPU401.DRV
07:00.02 1998-04-08 17888 DIRECTX/DIRECTX/DRIVERS/CZE/MSOPL.DRV
