18:55.06 1996-10-11 67 autorun.inf
12:31.48 1996-11-01 283240 heroes2/anim/sgood04.smk
12:31.50 1996-11-01 81768 heroes2/anim/sgood05.smk
16:13.06 1996-11-01 886604 heroes2/anim/sgood05v.smk
12:31.54 1996-11-01 98244 heroes2/anim/sgood06.smk
12:32.12 1996-11-01 244348 heroes2/anim/sgood07.smk
23:16.46 1996-10-31 380272 heroes2/anim/schoose.smk
14:57.50 1997-04-25 573480 heroes2/anim/scybcred.smk
13:55.00 1997-04-30 633120 heroes2/anim/scylogo.smk
15:54.10 1997-04-25 565000 heroes2/anim/sdefeat.smk
15:01.32 1997-04-25 999948 heroes2/anim/sdes10.smk
15:02.10 1997-04-25 635320 heroes2/anim/sdes11.smk
15:02.56 1997-04-25 655020 heroes2/anim/sdes12.smk
15:03.50 1997-04-25 667664 heroes2/anim/sdes13.smk
15:04.32 1997-04-25 609388 heroes2/anim/sdes14.smk
15:05.16 1997-04-25 642868 heroes2/anim/sdes15.smk
15:05.48 1997-04-25 499044 heroes2/anim/sdes9.smk
15:15.50 1997-04-25 1156792 heroes2/anim/svoy23.smk
15:16.48 1997-04-25 1280020 heroes2/anim/svoy24.smk
15:17.24 1997-04-25 554716 heroes2/anim/svoy25.smk
15:48.34 1996-11-02 700684 heroes2/anim/swins.smk
15:17.56 1997-04-25 598048 heroes2/anim/swiz16.smk
15:18.32 1997-04-25 614048 heroes2/anim/swiz17.smk
